file,class,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,version,title,severity,vulnerable
apache-tomcat-10.0.4-src/java/jakarta/mail/internet/MimePartDataSource.java,java/jakarta/mail/internet/MimePartDataSource.java,1,1,1,0,0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/mail/PasswordAuthentication.java,java/jakarta/mail/PasswordAuthentication.java,0,1,1,0,0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/mail/Session.java,java/jakarta/mail/Session.java,2,2,1,0,1,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/security/auth/message/AuthException.java,java/jakarta/security/auth/message/AuthException.java,0,2,5,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,8,0,0,0,0,0,0,1,1,0,1,0,0,0,0,11,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/security/auth/message/AuthStatus.java,java/jakarta/security/auth/message/AuthStatus.java,1,2,1,0,0,0.0,0.0,2,0,1,1,0,0,1,0,0,0,6,5,5,1,0,0,6,0,0,14,1,0,0,0,0,5,0,6,0,6,0,0,0,0,19,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/security/auth/message/callback/CallerPrincipalCallback.java,java/jakarta/security/auth/message/callback/CallerPrincipalCallback.java,0,5,1,0,0,0.7,1.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,3,0,0,24,3,0,0,0,0,0,0,6,0,3,0,0,0,0,23,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/security/auth/message/callback/CertStoreCallback.java,java/jakarta/security/auth/message/callback/CertStoreCallback.java,0,3,1,0,1,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,16,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/security/auth/message/callback/GroupPrincipalCallback.java,java/jakarta/security/auth/message/callback/GroupPrincipalCallback.java,0,3,1,0,0,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,21,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/security/auth/message/callback/PasswordValidationCallback.java,java/jakarta/security/auth/message/callback/PasswordValidationCallback.java,1,7,1,1,9,0.2857143,0.52380955,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,2,0,1,30,4,0,0,0,0,0,2,5,0,4,0,0,0,0,27,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/security/auth/message/callback/PrivateKeyCallback.java,java/jakarta/security/auth/message/callback/PrivateKeyCallback.java,1,5,1,0,4,0.3,0.4,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,1,0,0,69,3,0,0,0,0,0,0,3,0,3,0,0,5,0,31,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/security/auth/message/callback/SecretKeyCallback.java,java/jakarta/security/auth/message/callback/SecretKeyCallback.java,1,4,1,0,2,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,1,0,0,27,2,0,0,0,0,0,0,2,0,2,0,0,2,0,26,1,0,10,0,0,0.0
